urbanizacion,perdida_veg,ganancia_veg,nuevo_agua,zona,total_pixeles,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,nuevo_agua_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha,nuevo_agua_ha
1.0,2.0,1.0,0.0,5109041003030,4.0,25.0,50.0,25.0,0.0,0.01,0.02,0.01,0.0
0.0,0.0,0.0,0.0,5109041004033,0.0,,,,,0.0,0.0,0.0,0.0
0.0,4.0,5.0,0.0,5109041004032,9.0,0.0,44.44444444444444,55.55555555555556,0.0,0.0,0.04,0.05,0.0
1.0,0.0,14.0,0.0,5109041003038,15.0,6.666666666666667,0.0,93.33333333333333,0.0,0.01,0.0,0.14,0.0
0.0,0.0,0.0,0.0,5109041003014,0.0,,,,,0.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,5109041004034,3.0,0.0,66.66666666666667,33.333333333333336,0.0,0.0,0.02,0.01,0.0
0.0,0.0,0.0,0.0,5109041003039,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109041003048,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,0.0,0.0,5109041003015,0.0,,,,,0.0,0.0,0.0,0.0
0.0,4.0,3.0,0.0,5109041004035,7.0,0.0,57.142857142857146,42.857142857142854,0.0,0.0,0.04,0.03,0.0
2.0,1.0,1.0,0.0,5109041004036,4.0,50.0,25.0,25.0,0.0,0.02,0.01,0.01,0.0
0.0,0.0,0.0,0.0,5109041003024,0.0,,,,,0.0,0.0,0.0,0.0
0.0,4.0,9.0,0.0,5109041003031,13.0,0.0,30.76923076923077,69.23076923076923,0.0,0.0,0.04,0.09,0.0
0.0,0.0,0.0,0.0,5109121001023,0.0,,,,,0.0,0.0,0.0,0.0
2.0,11.0,2.0,0.0,5109041004045,15.0,13.333333333333334,73.33333333333333,13.333333333333334,0.0,0.02,0.11,0.02,0.0
0.0,0.0,1.0,0.0,5109121001002,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,0.0,0.0,5109121002039,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109041004048,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002037,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109121001024,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,0.0,0.0,5109121001003,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002036,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109121002011,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,0.0,0.0,5109121002028,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002040,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109121001025,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,0.0,0.0,5109121002041,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001004,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002042,0.0,,,,,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,5109171001019,2.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0,0.0
0.0,0.0,11.0,0.0,5109041007012,11.0,0.0,0.0,100.0,0.0,0.0,0.0,0.11,0.0
0.0,6.0,3.0,0.0,5109041007013,9.0,0.0,66.66666666666667,33.333333333333336,0.0,0.0,0.06,0.03,0.0
278.0,34.0,104.0,1.0,5109041001012,417.0,66.66666666666667,8.15347721822542,24.940047961630697,0.23980815347721823,2.7800000000000002,0.34,1.04,0.01
0.0,1.0,8.0,0.0,5109041001010,9.0,0.0,11.11111111111111,88.88888888888889,0.0,0.0,0.01,0.08,0.0
2.0,6.0,10.0,0.0,5109041008011,18.0,11.11111111111111,33.333333333333336,55.55555555555556,0.0,0.02,0.06,0.1,0.0
1.0,6.0,20.0,0.0,5109041007019,27.0,3.7037037037037037,22.22222222222222,74.07407407407408,0.0,0.01,0.06,0.2,0.0
0.0,4.0,1.0,0.0,5109041008012,5.0,0.0,80.0,20.0,0.0,0.0,0.04,0.01,0.0
1.0,0.0,17.0,0.0,5109041007018,18.0,5.555555555555555,0.0,94.44444444444444,0.0,0.01,0.0,0.17,0.0
4.0,16.0,16.0,0.0,5109041007017,36.0,11.11111111111111,44.44444444444444,44.44444444444444,0.0,0.04,0.16,0.16,0.0
0.0,4.0,64.0,0.0,5109041008010,68.0,0.0,5.882352941176471,94.11764705882354,0.0,0.0,0.04,0.64,0.0
91.0,51.0,39.0,0.0,5109041001013,181.0,50.27624309392265,28.176795580110497,21.54696132596685,0.0,0.91,0.51,0.39,0.0
0.0,0.0,0.0,0.0,5109041003016,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109041003023,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109041004038,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,1.0,6.0,0.0,5109041004037,7.0,0.0,14.285714285714286,85.71428571428571,0.0,0.0,0.01,0.06,0.0
0.0,6.0,7.0,0.0,5109041003045,13.0,0.0,46.15384615384615,53.84615384615385,0.0,0.0,0.06,0.07,0.0
1.0,3.0,0.0,0.0,5109041003049,4.0,25.0,75.0,0.0,0.0,0.01,0.03,0.0,0.0
0.0,0.0,0.0,0.0,5109041003017,0.0,,,,,0.0,0.0,0.0,0.0
1.0,25.0,63.0,0.0,5109041008009,89.0,1.1235955056179776,28.089887640449437,70.78651685393258,0.0,0.01,0.25,0.63,0.0
2.0,7.0,8.0,0.0,5109041008015,17.0,11.764705882352942,41.1764705882353,47.05882352941177,0.0,0.02,0.07,0.08,0.0
1.0,16.0,12.0,0.0,5109041008013,29.0,3.4482758620689653,55.172413793103445,41.37931034482759,0.0,0.01,0.16,0.12,0.0
43.0,78.0,296.0,1.0,5109041001014,418.0,10.287081339712918,18.660287081339714,70.8133971291866,0.23923444976076555,0.43,0.78,2.96,0.01
0.0,0.0,2.0,0.0,5109041011002,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0
0.0,2.0,22.0,0.0,5109041011001,24.0,0.0,8.333333333333334,91.66666666666667,0.0,0.0,0.02,0.22,0.0
1.0,17.0,86.0,0.0,5109041008014,104.0,0.9615384615384616,16.346153846153847,82.6923076923077,0.0,0.01,0.17,0.86,0.0
2.0,13.0,56.0,0.0,5109041007021,71.0,2.816901408450704,18.309859154929576,78.87323943661971,0.0,0.02,0.13,0.56,0.0
0.0,0.0,0.0,0.0,5109041003037,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109041003022,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
1.0,1.0,2.0,0.0,5109041003050,4.0,25.0,25.0,50.0,0.0,0.01,0.01,0.02,0.0
0.0,0.0,0.0,0.0,5109041004039,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109041003036,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109041003020,0.0,,,,,0.0,0.0,0.0,0.0
1.0,3.0,79.0,0.0,5109141003002,83.0,1.2048192771084338,3.6144578313253013,95.18072289156626,0.0,0.01,0.03,0.79,0.0
0.0,15.0,10.0,0.0,5109041004057,25.0,0.0,60.0,40.0,0.0,0.0,0.15,0.1,0.0
0.0,13.0,11.0,0.0,5109041004058,24.0,0.0,54.166666666666664,45.833333333333336,0.0,0.0,0.13,0.11,0.0
0.0,3.0,0.0,0.0,5109041004041,3.0,0.0,100.0,0.0,0.0,0.0,0.03,0.0,0.0
0.0,17.0,33.0,0.0,5109041004056,50.0,0.0,34.0,66.0,0.0,0.0,0.17,0.33,0.0
0.0,7.0,15.0,0.0,5109041003051,22.0,0.0,31.818181818181817,68.18181818181819,0.0,0.0,0.07,0.15,0.0
0.0,0.0,0.0,1.0,5109041003032,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,5109121001020,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002034,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109121001026,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,0.0,0.0,5109121001005,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001019,0.0,,,,,0.0,0.0,0.0,0.0
3.0,0.0,2.0,0.0,5109041004050,5.0,60.0,0.0,40.0,0.0,0.03,0.0,0.02,0.0
0.0,0.0,0.0,0.0,5109121002043,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001027,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,5109121001017,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,111.0,2.0,5109171001018,113.0,0.0,0.0,98.23008849557522,1.7699115044247788,0.0,0.0,1.11,0.02
1.0,26.0,270.0,0.0,5109041008017,297.0,0.3367003367003367,8.754208754208754,90.9090909090909,0.0,0.01,0.26,2.7,0.0
0.0,0.0,12.0,0.0,5109041007022,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.12,0.0
0.0,16.0,65.0,0.0,5109041008016,81.0,0.0,19.753086419753085,80.24691358024691,0.0,0.0,0.16,0.65,0.0
